xflr5 v6.47

 Calculated polar for: NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.170     Re =     0.100 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000,-0.0340, 0.03981, 0.03281,-0.0146,0.8560,0.8707,-0.5332, 0.0000,-0.1952
  1.000, 0.0764, 0.04039, 0.03325,-0.0167,0.8282,0.8997,-0.5124, 0.0000, 0.4621
  2.000, 0.1780, 0.04019, 0.03303,-0.0169,0.7874,0.9194,-0.6358, 0.0000, 0.3363
  3.000, 0.3302, 0.03911, 0.03196,-0.0234,0.7521,0.9339,-0.8596, 0.0000, 0.3123
  4.000, 0.4650, 0.03700, 0.02997,-0.0262,0.7057,0.9454,-1.1087, 0.0000, 0.2971
  5.000, 0.6180, 0.03259, 0.02585,-0.0289,0.6625,0.9586,-1.4255, 0.0000, 0.2868
  6.000, 0.7895, 0.02486, 0.01837,-0.0306,0.6036,0.9750,-1.8077, 0.0000, 0.2780
  7.000, 0.9111, 0.02281, 0.01529,-0.0291,0.3923,0.9988,-2.1171, 0.0000, 0.2700
  8.000, 0.9771, 0.02771, 0.01898,-0.0257,0.2466,1.0000,-2.3965, 0.0000, 0.2630
  9.000, 1.0804, 0.03279, 0.02412,-0.0279,0.1905,1.0000,-2.7929, 0.0000, 0.2613
 10.000, 1.1861, 0.03828, 0.02971,-0.0309,0.1654,1.0000,-3.2179, 0.0000, 0.2602
 11.000, 1.2793, 0.04558, 0.03730,-0.0330,0.1455,1.0000,-3.6114, 0.0000, 0.2585
 12.000, 1.3412, 0.05351, 0.04546,-0.0323,0.1257,1.0000,-3.9489, 0.0000, 0.2551
 13.000, 1.3057, 0.06677, 0.06003,-0.0260,0.1176,1.0000,-3.9624, 0.0000, 0.2490
 14.000, 1.1871, 0.09100, 0.08544,-0.0264,0.1132,1.0000,-3.6793, 0.0000, 0.2491


