xflr5 v6.47

 Calculated polar for: NASA/LANGLEY LS(1)-0421 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.170     Re =     0.100 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000,-0.1314, 0.05296, 0.04590, 0.0024,0.8037,0.8150,-0.6395, 0.0000, 0.2595
  2.000, 0.0618, 0.05252, 0.04526, 0.0033,0.7309,0.8662,-0.6298, 0.0000, 0.1686
  3.000, 0.1952, 0.05159, 0.04426,-0.0012,0.7010,0.8829,-0.7870, 0.0000, 0.2386
  4.000, 0.2867, 0.05155, 0.04428,-0.0016,0.6571,0.8970,-0.9377, 0.0000, 0.2378
  5.000, 0.4437, 0.04736, 0.04016,-0.0060,0.6266,0.9072,-1.1744, 0.0000, 0.2469
  7.000, 0.7467, 0.03529, 0.02848,-0.0101,0.5525,0.9283,-1.7787, 0.0000, 0.2464
  8.000, 0.8690, 0.03124, 0.02426,-0.0085,0.4635,0.9458,-2.0907, 0.0000, 0.2416
  9.000, 0.9547, 0.03216, 0.02424,-0.0058,0.3407,0.9600,-2.3675, 0.0000, 0.2366
 10.000, 1.0195, 0.03635, 0.02818,-0.0040,0.2660,0.9794,-2.6156, 0.0000, 0.2330
 11.000, 1.0913, 0.04126, 0.03316,-0.0045,0.2215,1.0000,-2.8704, 0.0000, 0.2317
 12.000, 1.1629, 0.04847, 0.04051,-0.0060,0.1892,1.0000,-3.1120, 0.0000, 0.2312
 13.000, 1.2250, 0.05569, 0.04780,-0.0077,0.1691,1.0000,-3.3555, 0.0000, 0.2305
 14.000, 1.2624, 0.06520, 0.05781,-0.0087,0.1548,1.0000,-3.6020, 0.0000, 0.2292


