xflr5 v6.47

 Calculated polar for: NACA 0012-64

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.170     Re =     0.100 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 0.0000, 0.02185, 0.01475,-0.0000,1.0000,1.0000,-0.3740, 0.0000, 0.4011
  1.000, 0.0453, 0.02173, 0.01461, 0.0052,0.9901,1.0000,-0.5995, 0.0000, 0.1257
  2.000, 0.4097, 0.01734, 0.01053,-0.0395,0.8704,1.0000,-1.4613, 0.0000, 0.3437
  3.000, 0.5104, 0.01623, 0.00796,-0.0322,0.4509,1.0000,-1.8588, 0.0000, 0.3097
  4.000, 0.5667, 0.02179, 0.01137,-0.0229,0.0810,1.0000,-1.9485, 0.0000, 0.2863
  5.000, 0.6495, 0.02646, 0.01629,-0.0176,0.0768,1.0000,-2.1527, 0.0000, 0.2723
  6.000, 0.7272, 0.03206, 0.02272,-0.0111,0.0798,1.0000,-2.3293, 0.0000, 0.2599
  7.000, 0.7501, 0.04381, 0.03611, 0.0028,0.0903,1.0000,-2.2505, 0.0000, 0.2404
  8.000, 0.7448, 0.05561, 0.04889, 0.0180,0.1109,1.0000,-2.1511, 0.0000, 0.2195
  9.000, 0.5306, 0.09423, 0.08836, 0.0168,0.1881,1.0000,-1.2883, 0.0000, 0.2105
 10.000, 0.5387, 0.10643, 0.10043, 0.0124,0.1723,1.0000,-1.2642, 0.0000, 0.2178
 11.000, 0.5757, 0.11843, 0.11235, 0.0129,0.1588,1.0000,-1.3540, 0.0000, 0.2175
 12.000, 0.5860, 0.14470, 0.13850, 0.0100,0.1495,1.0000,-1.3104, 0.0000, 0.2218
 13.000, 0.5662, 0.14875, 0.14243,-0.0007,0.1343,1.0000,-1.1733, 0.0000, 0.2381
 14.000, 0.6039, 0.17166, 0.16527, 0.0021,0.0999,1.0000,-1.5109, 0.0000, 0.2325


